starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 19 23:05:14 2015	1440014714	0	85	85	85
Wed Aug 19 23:02:45 2015	1440014565	0	86	86	86
Wed Aug 19 23:05:14 2015	1440014714	0	86	86	86
Wed Aug 19 23:02:55 2015	1440014575	0	86	86	86
Wed Aug 19 23:02:36 2015	1440014556	0	86	87	86
Wed Aug 19 23:02:06 2015	1440014526	0	87	87	87
Wed Aug 19 23:05:52 2015	1440014752	0	87	87	87
Wed Aug 19 23:05:46 2015	1440014746	0	87	87	87
Wed Aug 19 23:03:48 2015	1440014628	0	87	87	87
Wed Aug 19 23:02:57 2015	1440014577	0	88	88	88
Wed Aug 19 23:02:45 2015	1440014565	0	88	88	88
Wed Aug 19 23:02:19 2015	1440014539	0	88	89	88
Wed Aug 19 23:06:44 2015	1440014804	0	89	89	89
Wed Aug 19 23:03:31 2015	1440014611	0	89	89	89
Wed Aug 19 23:06:04 2015	1440014764	0	89	89	89
Wed Aug 19 23:03:20 2015	1440014600	0	89	89	89
Wed Aug 19 23:03:23 2015	1440014603	0	89	89	89
Wed Aug 19 23:07:35 2015	1440014855	0	89	90	89
Wed Aug 19 23:06:34 2015	1440014794	0	89	90	89
Wed Aug 19 23:02:56 2015	1440014576	0	90	90	89
Wed Aug 19 23:07:13 2015	1440014833	0	90	90	90
Wed Aug 19 23:06:06 2015	1440014766	0	90	90	90
Wed Aug 19 23:07:22 2015	1440014842	0	90	90	90
Wed Aug 19 23:03:42 2015	1440014622	0	90	90	90
Wed Aug 19 23:02:21 2015	1440014541	0	90	90	90
Wed Aug 19 23:02:43 2015	1440014563	0	91	91	90
Wed Aug 19 23:02:07 2015	1440014527	0	91	91	91
Wed Aug 19 23:07:23 2015	1440014843	0	91	91	91
Wed Aug 19 23:04:39 2015	1440014679	0	91	91	91
Wed Aug 19 23:03:19 2015	1440014599	0	92	92	92
Wed Aug 19 23:07:23 2015	1440014843	0	93	93	92
Wed Aug 19 23:02:19 2015	1440014539	0	93	93	93
Wed Aug 19 23:05:04 2015	1440014704	0	93	93	93
Wed Aug 19 23:05:44 2015	1440014744	0	93	93	93
Wed Aug 19 23:03:37 2015	1440014617	0	93	93	93
Wed Aug 19 23:04:42 2015	1440014682	0	93	93	93
Wed Aug 19 23:02:08 2015	1440014528	0	93	93	93
Wed Aug 19 23:07:37 2015	1440014857	0	93	93	93
Wed Aug 19 23:05:23 2015	1440014723	0	93	93	93
Wed Aug 19 23:03:11 2015	1440014591	0	93	93	93
Wed Aug 19 23:03:46 2015	1440014626	0	94	94	93
Wed Aug 19 23:07:49 2015	1440014869	0	94	94	94
Wed Aug 19 23:06:12 2015	1440014772	0	94	94	94
Wed Aug 19 23:05:56 2015	1440014756	0	94	94	94
Wed Aug 19 23:07:07 2015	1440014827	0	94	94	94
Wed Aug 19 23:03:30 2015	1440014610	0	94	94	94
Wed Aug 19 23:02:44 2015	1440014564	0	95	95	94
Wed Aug 19 23:03:56 2015	1440014636	0	95	95	95
Wed Aug 19 23:02:12 2015	1440014532	0	95	95	95
Wed Aug 19 23:02:06 2015	1440014526	0	95	95	95
Wed Aug 19 23:04:48 2015	1440014688	0	95	95	95
Wed Aug 19 23:05:54 2015	1440014754	0	95	95	95
Wed Aug 19 23:04:12 2015	1440014652	0	95	96	95
Wed Aug 19 23:06:40 2015	1440014800	0	95	96	95
Wed Aug 19 23:06:55 2015	1440014815	0	96	96	96
Wed Aug 19 23:05:46 2015	1440014746	0	96	96	96
Wed Aug 19 23:03:30 2015	1440014610	0	96	96	96
Wed Aug 19 23:03:50 2015	1440014630	0	96	97	96
Wed Aug 19 23:05:40 2015	1440014740	0	96	97	96
Wed Aug 19 23:07:47 2015	1440014867	0	97	97	96
Wed Aug 19 23:05:34 2015	1440014734	0	97	97	96
Wed Aug 19 23:07:09 2015	1440014829	0	97	97	97
Wed Aug 19 23:04:48 2015	1440014688	0	97	97	97
Wed Aug 19 23:03:56 2015	1440014636	0	97	97	97
Wed Aug 19 23:02:17 2015	1440014537	0	97	97	97
Wed Aug 19 23:07:41 2015	1440014861	0	97	97	97
Wed Aug 19 23:05:16 2015	1440014716	0	97	97	97
Wed Aug 19 23:07:09 2015	1440014829	0	97	97	97
Wed Aug 19 23:03:12 2015	1440014592	0	97	97	97
Wed Aug 19 23:05:40 2015	1440014740	0	97	97	97
Wed Aug 19 23:07:21 2015	1440014841	0	97	97	97
Wed Aug 19 23:03:17 2015	1440014597	0	98	98	98
Wed Aug 19 23:02:34 2015	1440014554	0	98	98	98
Wed Aug 19 23:05:54 2015	1440014754	0	98	98	98
Wed Aug 19 23:05:30 2015	1440014730	0	99	99	99
Wed Aug 19 23:02:21 2015	1440014541	0	99	99	99
Wed Aug 19 23:02:30 2015	1440014550	0	99	100	99
Wed Aug 19 23:03:07 2015	1440014587	0	100	100	100
Wed Aug 19 23:05:44 2015	1440014744	0	100	100	100
Wed Aug 19 23:06:51 2015	1440014811	0	100	100	100
Wed Aug 19 23:04:55 2015	1440014695	0	100	100	100
Wed Aug 19 23:07:35 2015	1440014855	0	100	100	99
Wed Aug 19 23:02:21 2015	1440014541	0	100	100	100
Wed Aug 19 23:06:55 2015	1440014815	0	100	100	100
Wed Aug 19 23:06:47 2015	1440014807	0	100	100	100
Wed Aug 19 23:05:09 2015	1440014709	0	100	101	100
Wed Aug 19 23:02:15 2015	1440014535	0	101	101	101
Wed Aug 19 23:02:31 2015	1440014551	0	101	101	101
Wed Aug 19 23:07:47 2015	1440014867	0	101	101	101
Wed Aug 19 23:06:10 2015	1440014770	0	101	101	101
Wed Aug 19 23:03:18 2015	1440014598	0	101	101	101
Wed Aug 19 23:07:29 2015	1440014849	0	101	101	101
Wed Aug 19 23:06:57 2015	1440014817	0	101	101	101
Wed Aug 19 23:06:49 2015	1440014809	0	101	102	101
Wed Aug 19 23:07:25 2015	1440014845	0	101	102	101
Wed Aug 19 23:05:44 2015	1440014744	0	102	102	101
Wed Aug 19 23:02:45 2015	1440014565	0	102	102	102
Wed Aug 19 23:06:22 2015	1440014782	0	102	102	102
Wed Aug 19 23:05:58 2015	1440014758	0	102	102	102
Wed Aug 19 23:02:08 2015	1440014528	0	103	103	102
Wed Aug 19 23:03:46 2015	1440014626	0	103	103	102
Wed Aug 19 23:05:14 2015	1440014714	0	103	103	103
Wed Aug 19 23:06:36 2015	1440014796	0	103	103	103
Wed Aug 19 23:05:30 2015	1440014730	0	103	103	103
Wed Aug 19 23:06:51 2015	1440014811	0	103	103	103
Wed Aug 19 23:05:18 2015	1440014718	0	103	103	103
Wed Aug 19 23:06:52 2015	1440014812	0	103	103	103
Wed Aug 19 23:07:17 2015	1440014837	0	103	103	103
Wed Aug 19 23:02:07 2015	1440014527	0	103	103	103
Wed Aug 19 23:04:14 2015	1440014654	0	103	103	103
Wed Aug 19 23:02:13 2015	1440014533	0	103	103	103
Wed Aug 19 23:02:51 2015	1440014571	0	103	104	103
Wed Aug 19 23:07:23 2015	1440014843	0	103	104	103
Wed Aug 19 23:06:18 2015	1440014778	0	104	104	104
Wed Aug 19 23:04:00 2015	1440014640	0	104	104	104
Wed Aug 19 23:05:19 2015	1440014719	0	104	104	104
Wed Aug 19 23:05:06 2015	1440014706	0	104	104	104
Wed Aug 19 23:05:56 2015	1440014756	0	104	104	104
Wed Aug 19 23:02:33 2015	1440014553	0	104	104	104
Wed Aug 19 23:03:40 2015	1440014620	0	104	104	104
Wed Aug 19 23:04:45 2015	1440014685	0	104	104	104
Wed Aug 19 23:03:16 2015	1440014596	0	104	104	104
Wed Aug 19 23:07:35 2015	1440014855	0	104	104	104
Wed Aug 19 23:02:49 2015	1440014569	0	104	104	104
Wed Aug 19 23:02:57 2015	1440014577	0	104	104	104
Wed Aug 19 23:02:45 2015	1440014565	0	105	105	104
